address,exchange,label
0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,Binance,Binance Hot Wallet 7
0xd551234ae421e3bcba99a0da6d736074f22192ff,Binance,Binance Hot Wallet 8
0x28c6c06298d514db089934071355e5743bf21d60,Binance,Binance Hot Wallet 14
0x21a31ee1afc51d94c2efccaa2092ad1028285549,Binance,Binance Hot Wallet 10
0xdfd5293d8e347dfe59e90efd55b2956a1343963d,Binance,Binance Hot Wallet 11
0x71660c4005ba85c37ccec55d0c4493e66fe775d3,Coinbase,Coinbase 1
0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,Coinbase,Coinbase 2
0x77696bb39917c91a0c3908d577d5e322095425ca,Coinbase,Coinbase 3
0x503828976d22510aad0201ac7ec88293211d23da,Coinbase,Coinbase 4
0xddfabcdc4d8ffc6d5leaf154f18b778f892a0740,Coinbase,Coinbase 5
0x6cc5f688a315f3dc28a7781717a9a798a59fda7b,OKX,OKX Hot Wallet 1
0x98ec059dc3adfrdd63429454aeb0c990fba4a128,OKX,OKX Hot Wallet 2
0x8589427373d6d84e98730d7795d8f6f8731fda16,OKX,OKX Hot Wallet 3
0x69b2ef7a5d1c276a4543c4b65a1b0c7c7b4f1234,OKX,OKX Hot Wallet 4
0x461249076b88189f8ac9418de28b365859e46bfd,OKX,OKX Hot Wallet 5
